STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/9/1966,3,",,I",20.7,"H,,S",,,16.1,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/24/1966,,,19,"H,,S",22.2,",,I",12.8,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/31/1966,23.1,",,I",17.2,"H,,S",22.2,",,I",12.8,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,6/8/1966,,,18.1,"H,,S",20,",,I",16.1,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,6/13/1966,,,19.2,"H,,S",22.8,",,I",12.8,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,6/16/1966,1,",,I",18.3,"H,,S",22.2,",,I",15,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,7/21/1966,14,",,I",19.3,"H,,S",22.8,",,I",15,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,7/29/1966,,,19.4,"H,,S",22.8,",,I",13.9,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,8/3/1966,,,20.2,"H,,S",22.8,",,I",16.1,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,8/12/1966,1,",,I",17.8,"H,,S",18.9,",,I",13.9,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,8/13/1966,0,",,I",18.1,"H,,S",21.1,",,I",12.8,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/5/1966,1,",,I",18.9,"H,,S",22.2,",,I",15,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,2/15/1967,,,24.8,"H,,S",27.8,",,I",20,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,2/18/1967,,,24.6,"H,,S",28.9,",,I",18.9,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,2/26/1967,,,24.3,"H,,S",27.8,",,I",21.1,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,3/5/1967,,,23.5,"H,,S",26.1,",,I",18.9,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,3/6/1967,,,23.9,"H,,S",27.8,",,I",18.9,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,3/9/1967,,,23.8,"H,,S",27.2,",,I",18.9,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,3/14/1967,,,24.8,"H,,S",27.8,",,I",20,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,3/16/1967,,,24.6,"H,,S",27.8,",,I",21.1,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,3/17/1967,0.5,",,I",24.3,"H,,S",27.8,",,I",20,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,3/19/1967,,,24.2,"H,,S",27.2,",,I",18.9,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/6/1967,3,",,I",23.3,"H,,S",26.1,",,I",17.8,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/9/1967,2,",,I",21.4,"H,,S",26.1,",,I",18.9,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/10/1967,0,",,I",22.2,"H,,S",26.1,",,I",17.2,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/11/1967,,,23.2,"H,,S",26.1,",,I",18.9,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/24/1967,0.5,",,I",21.9,"H,,S",23.9,",,I",18.9,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/29/1967,,,20.7,"H,,S",22.8,",,I",18.9,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/4/1967,,,19.4,"H,,S",22.2,",,I",16.1,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/13/1967,,,19.6,"H,,S",23.9,",,I",16.1,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,6/20/1967,,,18.5,"H,,S",21.1,",,I",17.2,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,7/4/1967,7.1,",,I",18.6,"H,,S",22.2,",,I",16.1,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,7/5/1967,0,",,I",18.1,"H,,S",20,",,I",15,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,7/23/1967,,,17.8,"H,,S",22.8,",,I",15,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,7/24/1967,,,18.1,"H,,S",21.1,",,I",13.9,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,7/26/1967,,,17.1,"H,,S",21.1,",,I",15,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,8/3/1967,,,19.7,"H,,S",22.8,",,I",17.2,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,8/9/1967,2,",,I",17.2,"H,,S",21.1,",,I",13.9,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,8/23/1967,,,19,"H,,S",22.2,",,I",15,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/10/1967,,,19.2,"H,,S",22.8,",,I",17.2,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/15/1967,,,19.3,"H,,S",22.8,",,I",15,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/6/1967,,,17.2,"H,,S",21.1,",,I",13.9,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/22/1967,2,",,I",20.4,"H,,S",,,17.2,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/26/1967,2,",,I",21,"H,,S",,,17.2,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/31/1967,,,19.9,"H,,S",,,15,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,2/27/1968,3,",,I",22.2,"H,,S",26.1,",,I",17.8,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,1/2/1973,,,24,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,3/13/1973,,,23.8,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,3/14/1973,,,24.5,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,3/15/1973,,,22.7,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,3/16/1973,,,23.3,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,3/24/1973,,,23,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,3/25/1973,,,24.2,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,3/27/1973,,,21.3,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,3/28/1973,0.5,",,I",21.2,"H,,S",,,19,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,3/29/1973,0,",,I",21,"H,,S",,,17,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,3/31/1973,,,21.2,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/1/1973,,,23.6,"H,,S",,,,
